0,1,2
117.1320305,81.87673318,41.52055123
109.7279221,29.36147307,40.47868741
81.42004156,27.94491154,25.28881652
36.76784992,27.61595109,27.95328886
30.09785199,27.26343077,30.24654876
28.64515102,26.94829546,31.73216401
27.89518047,26.61214735,34.71746144
27.42075823,26.16785933,32.56539459
27.09141092,25.35169575,36.9330101
26.84848104,23.67278701,41.34781537
26.66045842,22.76807228,44.24569419
26.50881016,21.57038481,41.1832304
26.38192089,21.93670896,40.00177471
26.27204688,21.60721011,37.39705321
26.1736355,21.14565361,39.56309772
26.08231965,20.92293634,34.70925317
25.99429379,20.86006871,37.05324744
25.90579233,20.77714713,38.58062918
25.81214856,20.71832049,39.87829441
25.70552455,20.6673021,42.2174709
25.56978383,20.66673495,39.19368852
25.3707351,20.61776466,30.53639491
25.04425041,20.60559064,31.2768329
24.46575318,20.41986,32.54014178
23.52369745,20.81135619,34.86670359
22.53995081,20.40742919,33.65108858
21.923245,20.41872501,30.22024682
21.58512014,20.14948575,32.87554467
21.30717364,20.17001899,30.55825553
21.01498127,20.03515321,31.1338138
20.77488931,19.68466808,30.80597667
20.56913911,19.34066384,29.09199902
20.39159929,18.90313355,31.60343799
20.22640114,18.61922882,32.68172616
20.01777223,18.38397436,33.95904612
19.82813451,18.33813282,31.60373578
19.73508663,18.3702167,37.83182457
19.65193086,18.30738519,29.13543209
19.54235414,18.2278588,37.03799142
19.38405559,18.18161133,30.31034084
19.2229803,18.16896988,31.64211371
19.06031964,18.14304985,32.62286704
18.88701038,18.20720895,30.74243748
18.82769249,18.03324515,31.45982502
18.77041788,17.64582056,30.90144761
18.72638487,17.83030368,30.89523836
18.66772396,17.63441729,30.78845008
18.63921867,17.56487586,30.76078644
18.58011009,17.50750648,30.61458281
18.56387901,17.5036097,30.67827762
18.50111967,17.4856827,30.53302332
18.48612668,17.43681114,30.59688801
18.41795116,17.49961754,30.48593954
18.37956945,17.37876924,30.53882884
18.33241215,17.42223974,30.44989464
18.30054332,17.53807339,30.49587118
18.26381173,17.36268775,27.69711936
18.23460333,17.3116706,37.56761613
18.20623926,17.254468,32.19869391
18.17851056,17.31767373,35.66236432
18.14807976,17.3501616,31.00162207
18.12214037,17.4796514,33.5527609
18.09643604,18.28473867,31.35181311
18.07204488,17.49988495,32.51772613
18.16308124,17.24555106,31.37404192
18.1556423,17.11652836,32.07748191
18.07432912,17.04698435,31.23965464
18.17638856,17.13845995,31.87896839
18.49805325,17.29736919,31.13752579
18.05659743,17.07777656,31.73552661
17.97826012,17.07062243,31.09387502
17.95370958,17.00403557,31.61221861
18.19894166,16.99696223,31.07405099
18.05309666,17.04671979,31.51521581
17.97911376,17.16401338,31.05726529
18.08464588,16.98328951,31.44367284
17.97901551,17.07240762,31.04068159
18.00234005,16.89153852,31.39046129
17.90735217,16.86753259,31.02587902
17.9404064,16.95823678,31.34950793
17.85051115,17.01582345,31.01357549
18.27114906,16.85699378,31.3171543
18.27306793,17.02446343,31.00348964
17.96773868,16.8207369,31.29122872
17.85132906,16.80298404,30.99509572
17.80960596,16.73178839,31.27030537
17.88974615,16.685529,30.98810527
17.80526329,16.64170892,31.25314966
17.78289663,16.62109947,30.9821487
17.76145009,16.56957466,31.23905096
17.7681021,16.58226916,30.97704365
17.86458835,16.53273552,31.22733081
17.83683648,16.6942451,30.97262682
17.8162563,16.57022393,31.21750221
17.87171174,16.87769406,30.96877493
17.77977718,16.92508772,31.20913339
18.31822505,16.60554022,30.96484656
18.70950588,16.50538314,31.20301685
17.81031262,16.78337324,30.96533268
17.85600073,16.57866543,31.19700605
17.7997683,16.39755746,30.95817983
17.88888274,16.67015154,31.19167822
17.92069073,16.42772315,30.95701382
17.78552099,16.47652299,31.18620053
17.81711509,16.29980182,30.95520271
17.78458159,16.81731772,31.18202266
17.75579822,16.44100812,30.95306835
17.68905677,16.55815253,31.17841658
17.68116292,16.17948281,30.95107202
17.6432904,16.08463602,31.17514498
17.62679137,16.05828839,30.94922619
17.67712861,16.00544698,31.17215294
17.63901568,15.90430223,30.94748067
17.69212906,15.90019124,31.16941166
17.73454817,16.51238537,30.94580678
17.73058422,16.10712958,31.16690144
18.14120105,16.22258941,30.94420258
18.18736931,15.89050698,31.1645594
17.70523297,16.6542237,30.9426536
17.62163981,15.98087967,31.16236767
17.59653842,16.01146192,30.94114488
17.57239154,16.30067824,31.16031644
17.55830071,15.69510691,30.93967972
17.54500709,15.67771103,31.15836723
17.53800621,16.01747845,30.93824387
17.53464561,16.19768301,31.15651972
17.56815387,16.36446631,30.93683698
17.63278287,16.17482553,31.15474558
17.68397857,16.65436025,30.93544968
17.88717899,15.69934487,31.15303362
18.08550844,15.70039343,30.93406386
17.63737412,15.4200128,31.15139244
17.55799214,15.28941637,30.93271541
17.50463128,15.2235857,31.14978187
17.47890261,15.09254302,30.93137679
