,0
0,41.520551231998624
1,40.478687413213265
2,25.288816521933768
3,27.95328885912022
4,30.24654875836859
5,31.73216400539968
6,34.71746143903147
7,32.5653945854574
8,36.933010095890495
9,41.347815365523275
10,44.24569418995088
11,41.18323040458927
12,40.00177471341158
13,37.39705320715984
14,39.5630977150704
15,34.709253174543846
16,37.05324744441896
17,38.58062917828647
18,39.878294406764326
19,42.21747090383178
20,39.19368851515901
21,30.536394913266122
22,31.27683289667766
23,32.54014178015859
24,34.866703594299906
25,33.65108857861196
26,30.220246823242633
27,32.87554467108566
28,30.55825553402974
29,31.133813798398478
30,30.80597667301481
31,29.09199902381806
32,31.603437992700492
33,32.68172615696676
34,33.959046117695834
35,31.603735779062845
36,37.83182457094699
37,29.13543208531337
38,37.03799141660784
39,30.310340838477714
40,31.642113713445724
41,32.62286704428334
42,30.742437476015766
43,31.459825015001115
44,30.90144761420379
45,30.895238361947122
46,30.788450083418866
47,30.760786437414936
48,30.6145828126173
49,30.6782776156615
50,30.53302331872692
51,30.596888012310956
52,30.485939539212268
53,30.538828836317407
54,30.449894637888065
55,30.495871175808134
56,27.697119355572795
57,37.567616134791024
58,32.198693913800525
59,35.66236432297228
60,31.00162206760433
61,33.55276089504332
62,31.35181310902408
63,32.517726134210534
64,31.37404191683163
65,32.07748191077553
66,31.239654642457026
67,31.878968393612013
68,31.137525787140476
69,31.735526613570983
70,31.09387501650781
71,31.61221861440572
72,31.074050992785487
73,31.515215806037304
74,31.057265294672106
75,31.443672835783218
76,31.04068158614973
77,31.390461292714463
78,31.02587901838706
79,31.349507928229286
80,31.01357549065142
81,31.317154298259993
82,31.00348964270961
83,31.291228715024772
84,30.99509571737144
85,31.27030537376413
86,30.988105265729246
87,31.253149660100462
88,30.98214869997173
89,31.239050957476138
90,30.97704365073878
91,31.227330805180827
92,30.972626816874254
93,31.217502210478415
94,30.968774933819077
95,31.20913338655373
96,30.964846556220436
97,31.203016846004175
98,30.965332676641992
99,31.19700604521495
100,30.95817982761946
101,31.191678218296147
102,30.957013817562256
103,31.18620053207269
104,30.955202712706523
105,31.18202265522268
106,30.953068350223475
107,31.178416579350596
108,30.95107202323561
109,31.175144977067248
110,30.949226186305168
111,31.172152943341644
112,30.94748066633474
113,31.16941166340257
114,30.94580677722115
115,31.166901439384674
116,30.94420257663296
117,31.164559396667755
118,30.942653602178325
119,31.162367674012785
120,30.941144881217042
121,31.160316435503773
122,30.939679720962886
123,31.15836723020766
124,30.938243871496525
125,31.156519716081675
126,30.93683697853703
127,31.154745576131972
128,30.93544967562775
129,31.1530336211581
130,30.93406385614071
131,31.151392438157927
132,30.93271541375725
133,31.149781867905403
134,30.931376792490482
135,31.148221408759127
136,30.930044704815373
137,31.14669810012856
138,30.928727655526018
139,31.145213721887558
140,30.927407044160645
141,31.14375012186065
142,30.926116727976478
143,31.142295158919296
144,30.924814139361843
145,31.140883671221673
146,30.92352156501147
147,31.139478194600088
148,30.922228385898052
149,31.138085264261463
150,30.920952530781506
151,31.13670910197834
152,30.919660841929726
153,31.13516481082479
154,29.0795921163226
155,32.87470774173562
156,29.36923535625101
157,29.417009330849396
158,30.260039450018667
159,30.03448634396773
160,29.979225219140062
161,30.10552086493408
162,30.06766731098469
163,30.097231973704766
164,30.100150238184142
165,30.122997296057292
166,30.118864145464613
167,30.141438792532426
168,30.13750171738502
169,30.15561714762589
170,30.152604034374235
171,30.167622601191397
172,30.16487799648894
173,30.177400132699404
174,30.174936974945012
175,30.185374491557013
176,30.183113821258303
177,30.191818262828747
178,30.189739899447886
179,30.19695087740547
180,30.195067433596705
181,30.20105995933409
182,30.19927761486906
183,30.204267305191024
184,30.20261640624085
185,30.206706269294955
186,30.20517891527561
187,30.208550922194263
188,30.207111525553046
189,30.20987596869236
190,30.208527211652836
191,30.210753497565747
192,30.209504622325767
193,30.211295397093636
194,30.21010843165277
195,30.21153732856328
196,30.210421194598894
197,30.21152970654657
198,30.210463235867792
199,30.435456606559455
